T_K,T_C,P_Pa,P_bar,rho_kg_m3,v_m3_kg,h_kJ_kg,s_kJ_kgK,u_kJ_kg,cp_J_kgK,cv_J_kgK,phase
283.15,10.0,10000.0,0.1,0.12304,8.127408,409.577971,4.493987,328.303892,1004.220621,717.018469,supercritical_gas
283.15,10.0,20000.0,0.2,0.246093,4.06351,409.552432,4.294944,328.282229,1004.401645,717.046436,supercritical_gas
283.15,10.0,30000.0,0.3,0.369157,2.708878,409.526896,4.178479,328.260565,1004.582703,717.074402,supercritical_gas
283.15,10.0,40000.0,0.4,0.492232,2.031562,409.501366,4.095823,328.2389,1004.763794,717.102368,supercritical_gas
283.15,10.0,50000.0,0.5,0.615319,1.625172,409.475839,4.031694,328.217235,1004.94492,717.130334,supercritical_gas
283.15,10.0,60000.0,0.6,0.738418,1.354246,409.450317,3.979282,328.195568,1005.126078,717.158299,supercritical_gas
283.15,10.0,70000.0,0.7,0.861529,1.160727,409.424799,3.934957,328.173901,1005.307271,717.186265,supercritical_gas
283.15,10.0,80000.0,0.8,0.984651,1.015588,409.399285,3.89655,328.152234,1005.488497,717.21423,supercritical_gas
283.15,10.0,90000.0,0.9,1.107785,0.902702,409.373776,3.862664,328.130565,1005.669756,717.242196,supercritical_gas
283.15,10.0,100000.0,1.0,1.23093,0.812394,409.348271,3.832344,328.108896,1005.851049,717.270161,supercritical_gas
283.15,10.0,110000.0,1.1,1.354087,0.738505,409.32277,3.804909,328.087226,1006.032375,717.298125,supercritical_gas
283.15,10.0,120000.0,1.2,1.477255,0.676931,409.297274,3.779856,328.065555,1006.213734,717.32609,supercritical_gas
283.15,10.0,130000.0,1.3,1.600435,0.62483,409.271782,3.756803,328.043883,1006.395127,717.354054,supercritical_gas
283.15,10.0,140000.0,1.4,1.723627,0.580172,409.246294,3.735454,328.022211,1006.576554,717.382019,supercritical_gas
283.15,10.0,150000.0,1.5,1.84683,0.541468,409.22081,3.715574,328.000538,1006.758013,717.409983,supercritical_gas
